"X","Y","Día"
526472.236856204,2134035.42154891,141
526892.796027081,2135797.25837034,151
527062.464648734,2135514.73079033,169
448644.38390935,2185670.72737167,79
436440.846628681,2191753.70098589,83
527346.311596947,2134989.55485575,121
445435.186662344,2185873.96146753,138
439141.303288893,2189441.79442691,141
441134.183205638,2179745.95861919,149
387412.124727451,2135879.77526814,92
384188.331750984,2136997.50624618,108
382188.227150079,2129626.03147784,109
389497.837053177,2129924.62704673,115
385732.792190578,2131976.77938403,115
379127.290118088,2133421.23865452,120
423243.968225652,2224136.65872579,91
526230.531826913,2111240.92202909,119
425144.369935967,2097118.04132181,123
530417.801511931,2096995.08079787,124
462579.828706521,2147643.5876059,83
464038.285239905,2152217.44841806,122
535872.106986624,2140054.47378771,28
534739.683089495,2135718.33626648,56
531351.968526215,2135598.45740307,61
532726.453330233,2137193.05537227,63
528856.40995335,2135957.02465253,69
532855.844919608,2139864.34245758,69
533422.245147102,2139637.92118854,69
426956.933304297,2137374.86501619,72
534648.595696176,2136047.0492293,73
531482.929314804,2139173.39947493,78
526024.094697863,2135178.18487823,84
523232.466887847,2138915.07890571,87
523696.143030497,2139081.65697556,92
529538.604691911,2136345.40478333,116
533725.486624768,2142872.03575516,118
531021.090003754,2136261.80888014,118
519489.428914777,2136009.1271755,120
519665.896206996,2137426.28110122,124
535410.205629078,2142036.11962867,125
535426.499288408,2139666.31002161,126
533411.915201875,2138909.43206696,127
524899.887158289,2137829.20154672,127
534321.060830943,2137970.57042889,140
533596.901658485,2143000.89349845,141
535375.313768885,2138983.84452362,149
521102.954161506,2136133.87411628,156
430741.50833601,2083688.73520122,24
416390.355913411,2083848.86962847,62
432704.928360288,2195425.60677259,97
423615.028962857,2085748.2541929,109
431590.673482298,2086215.26280911,113
426799.420448499,2081432.28059223,119
431231.830728872,2086505.51004696,123
431728.000052661,2085360.27073077,129
430178.716603684,2085796.31955258,131
425409.78555923,2087456.14508565,131
427357.882442913,2088807.04691658,136
426208.863444369,2087529.81000928,139
431253.524718828,2086834.31682281,139
426458.437394483,2087750.13346281,148
425795.95710113,2087442.30971748,151
426114.041483057,2087228.95882362,152
427348.950282278,2086514.07620701,152
427281.914631265,2086581.95940595,153
424647.115686569,2199270.01374844,153
408608.010037558,2161607.59969217,126
405604.285519749,2163993.27854228,139
407171.283190952,2163299.57638555,153
468473.353762921,2164239.87716867,58
463991.800850738,2150837.42344187,90
442801.101689845,2165751.16677398,116
436280.388362112,2166406.3883001,153
423289.183798274,2181157.27356302,120
404173.391978068,2186193.28618383,126
419201.425860806,2183554.7073208,141
446339.852814319,2110073.98462821,69
445179.274184665,2110910.37365912,83
446653.737797454,2113515.6217267,90
411494.028391445,2149330.76403932,122
453922.555520905,2135393.10613254,62
452632.689855103,2139865.65941512,68
454385.266268947,2145332.47379967,78
453934.882119739,2148287.51590728,78
455991.156656068,2136433.05760793,79
454761.863340532,2141968.82851038,84
453310.455094491,2134537.09103241,89
453680.664797629,2146947.99596345,110
